"","PBNleg","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,-0.00306807,0,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,-0.00627445,0.01,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,-0.00937401,1.47,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,-0.01136107,2.3,-2.6,-2.6,-1,0,0,0,4,0,0,0,0
"35",0,-0.01220146,0.7,-2.3,-2.3,-2,0,0,0,3,0,0,0,0
"42",0,-0.01244244,-0.22,-2.2,-2.2,-2,0,0,0,3,0,0,0,0
"49",0,-0.01279579,0.35,-2.2,-2.2,-2,0,0,0,3,0,0,0,0
"56",0,-0.01283025,-0.33,-2.2,-2.2,-26,1,0,0,3,0,0,0,0
"63",0,-0.0141019,-8.15,-2.7,-2.7,-26,1,0,0,2,0,0,0,0
"70",1,-0.01657364,-18.92,-2.4,-2.4,-23,0,0,0,2,0,0,0,0
"77",1,-0.03332886,-21.45,-7.4,-7.4,-23,0,0,0,4,4,0,4,0
"84",1,-0.07283983,-13.49,-12,-12,-23,0,0,0,3,3,0,3,0
"91",1,-0.12837479,-8.13,-14.7,-14.7,-23,0,0,0,3,3,0,3,0
"98",1,-0.19161034,-7.2,-15.5,-15.5,-22,0,0,0,3,3,0,3,0
"105",1,-0.25947507,-5.27,-17.1,-17.1,-22,0,0,0,3,3,0,3,0
"112",1,-0.33300408,-4,-18.3,-18.3,-22,0,0,0,4,3,0,3,1
"119",1,-0.35893856,-3.07,-7.2,-7.2,-10,0,0,0,3,2,0,2,1
"126",1,-0.38339963,-2.33,2.2,2.2,25,1,0,0,3,2,0,2,1
"133",1,-0.36647022,3.02,1.9,1.9,25,1,0,0,3,2,0,2,1
"140",1,-0.34557576,13.74,3.4,3.4,35,1,0,0,3,2,0,2,2
"147",1,-0.30926263,24.55,7.8,7.8,35,1,0,0,3,2,0,2,2
"154",1,-0.24761034,27.22,14.6,14.6,35,1,0,0,4,2,0,2,0
"161",1,-0.15348301,18.84,20.9,20.9,35,1,0,0,3,3,0,2,0
"168",2,-0.12168779,10.48,-0.4,-0.4,10,0,0,0,3,3,0,2,0
"175",2,-0.10766957,8.82,1.80000000000001,1.80000000000001,0,0,0,0,3,3,0,2,0
"182",2,-0.08486085,1.17,3.39999999999998,3.39999999999998,0,0,0,0,4,3,0,2,0
