"","PBNleg","dscrPhase","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,-0.00303765,0,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,-0.00614665,0.24,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,-0.00890963,2.33,-2.7,-2.7,-1,0,0,0,0,0,0,0,0
"28",0,3,-0.0096609,1.6,-2.2,-2.2,-1,0,0,0,0,0,0,0,0
"35",0,3,-0.00884626,0.77,-2,-2,-1,0,0,0,0,0,0,0,0
"42",0,3,-0.00706926,0.9,-1.8,-1.8,-1,0,0,0,0,0,0,0,0
"49",0,3,-0.0044462,0.71,-1.6,-1.6,-1,0,0,0,0,0,0,0,0
"56",0,3,-0.00108602,0.48,-1.5,-1.5,-1,0,0,0,0,0,0,0,0
"63",0,3,0.00272808,0.4,-1.4,-1.4,-1,0,0,0,0,0,0,0,0
"70",1,4,0.01289723,-2.98,1.6,1.6,-23,0,0,0,0,0,0,0,0
"77",1,4,0.02675145,-13.28,0.1,0.1,-23,0,0,0,0,0,0,0,0
"84",1,4,0.02568259,-21.73,-4.1,-4.1,-23,0,0,0,0,0,0,0,0
"91",1,4,0.00080633,-18.06,-9.7,-9.7,-23,0,0,0,0,0,0,0,0
"98",1,4,-0.04460018,-9.69,-13.5,-13.5,-23,0,0,0,0,0,0,0,0
"105",1,4,-0.09799858,-7.83,-14.8,-14.8,-22,0,0,0,0,0,0,0,0
"112",1,4,-0.15940635,-5.95,-16.6,-16.6,-22,0,0,0,0,0,0,0,0
"119",1,4,-0.20514886,-4.38,-6,-6,-10,0,0,0,0,0,0,0,0
"126",1,4,-0.2251595,-3.31,-7,-7,-10,0,0,0,0,0,0,0,0
"133",1,3,-0.23644424,-2.5,2.3,2.3,0,0,0,0,0,0,0,0,0
"140",1,3,-0.22013938,-1.88,1.7,1.7,0,0,0,0,0,0,0,0,0
"147",1,3,-0.2059183,-1.41,1.3,1.3,0,0,0,0,0,0,0,0,0
"154",1,3,-0.1932341,-1.06,1,1,0,0,0,0,0,0,0,0,0
"161",1,3,-0.18176496,-0.8,0.699999999999999,0.699999999999999,0,0,0,0,0,0,0,0,0
"168",1,3,-0.1714127,-0.61,0.600000000000001,0.600000000000001,0,0,0,0,0,0,0,0,0
"175",2,4,-0.24610993,-0.46,-24.6,-24.6,-25,0,0,0,4,0,0,0,0
"182",2,4,-0.34628731,-0.35,-24.7,-24.7,0,0,0,0,3,0,0,0,1
