"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.00292946,-0.01,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,20,0,-0.00611487,0,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,30,0,-0.00921576,0,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,3,39,0,-0.01206782,-0.01,-2.8,-1,0,0,0,0,0,0,0,0
"35",0,3,47,0,-0.01461223,-0.01,-2.8,-1,0,0,0,0,0,0,0,0
"42",0,3,54,0,-0.01683578,-0.01,-2.8,-1,0,0,0,0,0,0,0,0
"49",0,3,61,0,-0.01877267,1.64,-2.9,-1,0,0,0,0,0,0,0,0
"56",0,3,67,0,-0.02007058,1.74,-2.6,-1,0,0,0,0,0,0,0,0
"63",0,3,73,0,-0.02051843,1.42,-2.3,-1,0,0,0,3,0,0,0,0
"70",0,3,79,0,-0.02016634,1.12,-2,-1,0,4,0,3,0,0,0,0
"77",0,3,86,0,-0.01902128,0.83,-1.7,-1,0,3,0,3,0,0,0,0
"84",0,3,92,0,-0.01709074,0.55,-1.5,-1,0,3,0,4,0,0,0,0
"91",0,3,99,0,-0.01448025,0.37,-1.3,-26,1,3,0,3,0,0,0,0
"98",1,4,4,1,-0.00285725,-4.37,1.3,-23,0,3,0,3,0,0,0,0
"105",1,4,10,0,0.0051944,-15.21,-1.7,-23,0,3,0,3,0,0,0,0
"112",1,4,15,0,-0.00297728,-19.1,-7.4,-23,0,2,0,3,0,0,0,0
"119",1,4,21,0,-0.03175415,-12.25,-12.1,-23,0,2,0,2,0,0,0,0
"126",1,4,26,0,-0.0760039,-8.62,-15.2,-23,0,2,0,2,0,0,0,0
"133",1,4,32,0,-0.1282541,-6.31,-16.3,-22,0,2,0,2,3,0,0,0
"140",1,4,37,0,-0.18704802,-4.6,-17.8,-22,0,2,0,2,3,0,0,0
"147",1,4,43,0,-0.25358296,-3.33,-19,-22,0,2,0,4,3,0,0,0
"154",1,4,51,0,-0.30350276,-2.45,-7.8,-10,0,2,0,3,3,0,0,1
"161",1,4,57,0,-0.32839432,-1.81,-8.3,15,1,2,0,3,3,0,0,1
"168",1,3,65,0,-0.34565912,5.33,1.8,25,1,2,0,3,2,0,0,1
"175",1,3,72,0,-0.32523471,16.18,4.3,25,1,2,0,4,2,0,0,1
"182",1,3,79,0,-0.28666392,19.24,9.2,25,1,2,0,3,2,0,0,0
"189",1,3,85,0,-0.22678424,12.83,13.3,25,1,1,0,3,2,0,0,0
"196",1,3,92,0,-0.15102833,9.73,16,25,1,1,0,4,2,0,0,0
"203",1,3,99,0,-0.06377588,7.48,18.1,25,1,1,0,3,3,0,0,0
"210",2,4,3,1,-0.05472679,5.73,-5.3,0,0,1,0,3,3,0,0,0
"217",2,4,7,0,-0.06764605,4.4,-4,0,0,1,0,3,3,0,0,0
"224",2,4,11,0,-0.07559874,3.39,-3.1,0,0,1,0,3,3,0,0,0
"231",2,4,16,0,-0.07981663,2.62,-2.4,0,0,1,0,3,3,0,0,0
"238",2,4,20,0,-0.081074,2.02,-1.9,0,0,1,0,3,2,0,0,0
"245",2,4,24,0,-0.0800548,1.57,-1.4,0,0,1,0,3,2,0,0,0
"252",2,4,28,0,-0.07730297,1.22,-1.1,0,0,1,0,3,2,0,0,0
"259",2,4,33,0,-0.07314301,0.95,-0.9,0,0,1,0,3,2,0,0,0
"266",2,4,37,0,-0.06802537,0.74,-0.7,0,0,1,0,3,2,0,0,0
"273",2,2,41,0,-0.06177947,0.57,-0.5,0,0,1,0,2,2,0,0,0
"280",2,2,46,0,-0.05498489,0.45,-0.4,0,0,1,0,2,2,0,0,0
"287",2,2,50,0,-0.04764623,0.35,-0.3,0,0,1,0,2,2,0,0,0
"294",2,2,55,0,-0.03989981,0.27,-0.2,0,0,1,0,4,2,0,0,0
"301",2,2,59,0,-0.03192472,0.21,-0.2,0,0,1,0,3,2,0,0,0
"308",2,2,64,0,-0.02354542,0.17,-0.2,0,0,1,0,3,2,0,0,0
"315",2,2,68,0,-0.01498546,0.13,-0.1,0,0,1,0,3,1,0,0,0
"322",2,2,72,0,-0.00624559,0.1,-0.1,0,0,1,0,3,1,0,0,0
"329",2,3,77,0,0.00258521,0.08,-0.1,0,0,1,0,3,4,4,0,0
"336",2,3,81,0,0.01154861,0.06,-0.1,0,0,1,0,2,3,3,0,0
"343",2,3,86,0,0.02064673,0.05,0,0,0,1,0,2,3,3,0,0
"350",2,3,91,0,0.02983323,0.04,0,102,1,1,0,2,3,3,0,0
"357",2,3,95,0,0.03956413,5.98,0.199999999999989,102,1,1,0,2,3,3,0,0
"364",2,3,100,0,0.05643549,16.81,2.39999999999998,102,1,1,0,2,2,3,0,0
"371",3,4,3,1,0.06839477,27.43,2.19999999999999,97,0,1,0,2,2,2,0,0
"378",3,4,5,0,0.09762454,30.09,-0.699999999999989,87,0,1,0,2,2,2,0,0
"385",3,4,8,0,0.12539004,30,6.39999999999998,87,0,1,0,4,2,2,0,0
"392",3,4,11,0,0.1570541,30,3.5,77,0,1,0,3,2,2,0,0
"399",3,4,14,0,0.20398066,30,0.399999999999977,67,0,1,0,3,2,2,0,0
"406",3,4,17,0,0.23731649,30,7.39999999999998,67,0,1,0,3,2,2,0,0
"413",3,4,20,0,0.28183851,30,4.30000000000001,57,0,1,0,3,2,2,0,0
"420",3,4,23,0,0.33648253,30,11.3,57,0,0,0,3,4,2,0,1
"427",3,4,26,0,0.37469583,30,8.10000000000002,47,0,0,0,2,3,2,0,1
"434",3,4,30,0,0.4220267,30,5,37,0,0,0,2,3,2,0,1
"441",3,4,33,0,0.47502491,27.3,1.80000000000001,24,0,0,0,2,3,2,0,2
"448",3,4,36,0,0.51260325,18.53,6.89999999999998,22,0,0,0,2,3,1,0,2
"455",3,4,40,0,0.53255156,12.64,0.300000000000011,12,0,0,0,2,2,1,0,2
"462",3,4,44,0,0.53140697,10.05,-7.39999999999998,2,0,0,0,4,2,1,0,2
"469",3,4,47,0,0.50820949,7.99,-5.39999999999998,2,0,0,0,3,2,1,0,2
"476",3,2,50,0,0.45389461,6.36,-11.9,-6,0,0,0,3,2,1,0,2
"483",3,2,53,0,0.40263237,5.05,-10.7,-6,0,0,0,4,2,1,0,2
"490",3,2,56,0,0.35711357,4.02,-9.69999999999999,-6,0,0,0,3,2,1,0,2
"497",3,2,59,0,0.3159662,3.19,-9,-6,0,0,0,3,2,1,0,2
"504",3,2,62,0,0.2784602,2.54,-8.39999999999998,-6,0,0,0,3,2,1,0,0
"511",3,2,65,0,0.24373188,2.02,-7.89999999999998,-6,0,0,0,3,2,1,0,0
"518",3,2,68,0,0.21129298,2.32,-7.5,-4,0,0,0,3,2,1,0,0
"525",3,2,70,0,0.1819989,3.13,-6.89999999999998,-4,0,0,0,2,2,1,0,0
"532",3,2,73,0,0.15547676,2.49,-6.30000000000001,-4,0,0,0,2,2,1,0,0
"539",3,2,76,0,0.13185193,1.98,-5.80000000000001,-4,0,0,0,2,1,1,0,0
"546",3,2,79,0,0.11044341,2.96,-5.39999999999998,-1,0,0,0,2,1,1,0,0
"553",3,2,82,0,0.09272769,3.99,-4.69999999999999,-1,0,0,0,2,1,1,0,0
"560",3,3,85,0,0.07904338,3.17,-3.89999999999998,-1,0,0,0,3,1,1,0,0
"567",3,3,88,0,0.06893379,2.53,-3.39999999999998,-1,0,0,0,3,1,1,0,0
"574",3,3,91,0,0.06173808,2.02,-2.89999999999998,-1,0,0,0,3,1,1,0,0
"581",3,3,94,0,0.05674729,1.61,-2.5,-1,0,0,0,3,1,1,0,0
"588",3,3,97,0,0.05366249,1.31,-2.19999999999999,92,1,0,0,3,1,1,0,0
"595",3,3,100,0,0.05238016,6.69,-1.80000000000001,92,1,0,0,4,1,1,0,0
"602",4,4,3,1,0.03308938,17.3,-4.60000000000002,87,0,0,0,3,1,1,0,0
"609",4,4,6,0,0.01833933,28.04,-9.90000000000001,77,0,0,0,3,1,1,0,0
"616",4,4,9,0,-0.0047029,30.05,-3.19999999999999,77,0,0,0,3,1,1,0,0
"623",4,4,12,0,-0.02110017,30,-6.5,67,0,0,0,3,1,1,0,0
"630",4,4,15,0,-0.02483393,30,0.0999999999999943,67,0,0,0,3,1,1,0,0
"637",4,4,18,0,-0.03853564,30,-3.30000000000001,57,0,0,0,2,1,1,0,0
"644",4,4,21,0,-0.03045385,30,-6.80000000000001,47,0,0,0,2,1,1,0,0
"651",4,4,24,0,-0.03595785,30,-0.199999999999989,47,0,0,0,3,1,1,0,0
"658",4,4,27,0,-0.02642492,30,-3.80000000000001,37,0,0,0,3,1,1,0,0
"665",4,4,30,0,-0.01497467,30,2.69999999999999,37,0,0,0,3,1,1,0,0
"672",4,4,33,0,-0.00517808,29.44,-0.800000000000011,27,0,0,0,3,1,1,0,0
"679",4,4,36,0,0.02218332,23.75,4.90000000000001,27,0,0,0,3,1,0,0,0
"686",4,4,39,0,0.02035466,19.01,-0.699999999999989,17,0,0,0,2,1,0,0,0
"693",4,4,42,0,0.02133718,15.27,-7.30000000000001,7,0,0,0,2,1,0,0,0
"700",4,4,45,0,0.0016181,12.34,-4.5,7,0,0,0,2,1,0,0,0
"707",4,2,48,0,-0.02835639,9.94,-10.3,-1,0,0,0,2,1,0,0,0
"714",4,2,51,0,-0.07172987,8.02,-8.5,-1,0,0,0,4,1,0,0,0
"721",4,2,54,0,-0.10603561,6.47,-7,-1,0,0,0,3,1,0,0,0
"728",4,2,57,0,-0.13286196,5.22,-5.90000000000001,-1,0,0,0,3,1,0,0,0
"735",4,2,60,0,-0.1534639,4.23,-5,-1,0,0,0,3,1,0,0,0
"742",4,2,64,0,-0.16957128,5.87,-4.09999999999999,2,0,0,0,3,1,0,0,0
"749",4,2,67,0,-0.17933692,5.34,-3,2,0,0,0,3,1,0,0,0
"756",4,2,70,0,-0.18296468,4.31,-2,2,0,0,0,4,1,0,0,0
"763",4,2,73,0,-0.18162254,3.48,-1.30000000000001,2,0,0,0,3,1,0,0,0
"770",4,2,76,0,-0.17638982,2.83,-0.599999999999994,2,0,0,0,3,0,0,0,0
"777",4,2,79,0,-0.16776354,2.29,-0.0999999999999943,2,0,0,0,3,0,0,0,0
"784",4,2,82,0,-0.15654812,1.85,0.300000000000011,2,0,0,0,3,0,0,0,0
"791",4,3,85,0,-0.14311408,1.5,0.599999999999994,2,0,0,0,2,0,0,0,0
"798",4,3,89,0,-0.12790901,1.22,0.900000000000006,2,0,0,0,2,0,0,0,0
"805",4,3,92,0,-0.11143743,0.99,1.09999999999999,2,0,0,0,2,0,0,0,0
"812",4,3,95,0,-0.09363984,0.8,1.30000000000001,2,0,0,0,2,4,0,0,0
"819",4,3,98,0,-0.07481419,0.64,1.40000000000001,2,0,0,0,2,3,0,0,0
"826",5,4,1,1,-0.06589664,1.44,-3.5,31,0,0,0,2,3,0,0,0
"833",5,4,4,0,-0.07424665,11.37,-2.5,31,0,0,0,2,3,0,0,0
"840",5,4,7,0,-0.11118813,22.17,-9.40000000000001,21,0,0,0,2,3,0,0,0
"847",5,4,10,0,-0.14176259,28.87,-3.90000000000001,21,0,0,0,4,3,0,0,0
"854",5,4,13,0,-0.19764241,21.28,-8.80000000000001,11,0,0,0,3,2,0,0,0
"861",5,4,15,0,-0.24286742,17.1,-14,2,0,0,0,3,2,0,0,0
"868",5,1,18,0,-0.30513333,13.87,-14,-1,0,0,0,3,2,0,0,1
"875",5,1,21,0,-0.36907323,11.28,-11.6,-1,0,0,0,3,2,0,0,1
"882",5,1,24,0,-0.4206586,9.17,-9.59999999999999,4,0,0,0,2,2,0,0,1
"889",5,1,27,0,-0.46145609,11.48,-7.80000000000001,4,0,0,0,2,2,0,0,1
"896",5,1,30,0,-0.49007595,10.33,-5.69999999999999,4,0,0,0,2,2,0,0,2
"903",5,1,33,0,-0.50637435,8.4,-3.90000000000001,4,0,0,0,2,2,0,0,2
"910",5,1,36,0,-0.51287956,6.86,-2.40000000000001,4,0,0,0,2,2,0,0,2
"917",5,1,39,0,-0.51153391,5.58,-1.19999999999999,4,0,0,0,2,2,0,0,2
"924",5,1,42,0,-0.5037031,4.55,-0.299999999999997,4,0,0,0,2,2,0,0,2
"931",5,1,45,0,-0.49050368,3.71,0.5,4,0,0,0,2,1,0,0,2
"938",5,1,48,0,-0.47315764,3.01,1.2,4,0,0,0,4,1,0,0,2
"945",5,2,51,0,-0.45221989,2.45,1.7,4,0,0,0,3,1,0,0,2
"952",5,2,54,0,-0.42828324,2,2.09999999999999,4,0,0,0,3,1,0,0,2
"959",5,2,57,0,-0.40204317,1.63,2.5,4,0,0,0,3,1,0,0,2
"966",5,2,60,0,-0.37388488,1.33,2.8,4,0,0,0,3,1,0,0,2
"973",5,2,64,0,-0.34413344,1.08,3,4,0,0,0,2,1,0,0,2
"980",5,2,67,0,-0.31370854,0.89,3.2,4,0,0,0,2,1,0,0,2
"987",5,2,70,0,-0.28180934,0.72,3.3,4,0,0,0,2,1,0,0,0
"994",5,2,73,0,-0.24879813,0.57,3.5,4,0,0,0,2,1,0,0,0
"1001",5,2,76,0,-0.21507416,0.46,3.59999999999999,-1,0,0,0,2,1,0,0,0
"1008",5,2,79,0,-0.18176886,-4.37,3.3,-1,0,0,0,3,1,0,0,0
"1015",5,2,82,0,-0.15267403,-3.71,2.5,-1,0,0,0,3,1,0,0,0
"1022",5,3,85,0,-0.12785682,-3.03,1.8,-1,0,0,0,3,1,0,0,0
"1029",5,3,88,0,-0.10684936,-2.48,1.3,-1,0,0,0,3,1,0,0,0
"1036",5,3,91,0,-0.08833724,-2.02,0.900000000000006,-1,0,0,0,4,1,0,0,0
"1043",5,3,94,0,-0.07213174,-1.65,0.599999999999994,-1,0,0,0,3,1,0,0,0
"1050",5,3,97,0,-0.05787189,-1.36,0.299999999999997,-48,1,0,0,3,1,0,0,0
"1057",5,3,100,0,-0.04541674,-4.65,-0.0999999999999943,-48,1,0,0,3,1,0,0,0
"1064",6,4,1,1,-0.01062515,-15.45,3.19999999999999,-43,0,0,0,3,1,0,0,0
"1071",6,4,2,0,0.03081952,-26.32,9,-33,0,0,0,3,1,0,0,0
"1078",6,4,2,0,0.0772167,-30.01,2.80000000000001,-33,0,0,0,2,1,0,0,0
"1085",6,4,3,0,0.13258911,-29.99,6.5,-23,0,0,0,4,1,0,0,0
"1092",6,4,4,0,0.17034375,-25.43,10.8,-13,0,0,0,3,1,0,0,0
"1099",6,4,5,0,0.2304385,-20.66,6.40000000000001,-13,0,0,0,3,1,0,0,0
"1106",6,4,5,0,0.28552474,-16.75,10.7,-5,0,0,0,3,1,0,0,0
"1113",6,1,6,0,0.3547239,-13.63,11.8,-1,0,0,0,3,1,0,0,1
"1120",6,1,7,0,0.42894904,-11.08,9.40000000000001,-1,0,0,0,2,1,0,0,1
"1127",6,1,8,0,0.49036639,-9.01,7.40000000000001,-1,0,0,0,2,1,0,0,1
"1134",6,1,9,0,0.54119736,-9.65,5.80000000000001,-6,0,0,0,2,1,0,0,2
"1141",6,1,9,0,0.58074502,-10.34,3.69999999999999,-6,0,0,0,2,1,0,0,2
"1148",6,1,10,0,0.60826051,-8.41,1.90000000000001,-6,0,0,0,4,1,0,0,2
"1155",6,1,11,0,0.62590524,-6.84,0.400000000000006,-6,0,0,0,3,1,0,0,2
"1162",6,1,12,0,0.63557029,-5.55,-0.800000000000011,-6,0,0,0,3,0,0,0,2
"1169",6,1,13,0,0.63869033,-4.53,-1.80000000000001,-6,0,0,0,3,0,0,0,2
"1176",6,1,13,0,0.63664448,-3.68,-2.5,-6,0,0,0,3,0,0,0,2
"1183",6,1,14,0,0.6303351,-2.99,-3.19999999999999,-6,0,0,0,2,0,0,0,2
"1190",6,1,15,0,0.62053867,-2.42,-3.69999999999999,-6,0,0,0,2,0,0,0,2
"1197",6,1,16,0,0.6079242,-1.97,-4.19999999999999,-6,0,0,0,4,0,0,0,2
"1204",6,1,17,0,0.59307852,-1.6,-4.5,-6,0,0,0,3,4,4,0,2
"1211",6,1,18,0,0.57640817,-1.29,-4.80000000000001,-6,0,0,0,3,3,3,0,2
"1218",6,1,18,0,0.55842639,-1.05,-5,-6,0,0,0,3,3,3,0,2
"1225",6,1,19,0,0.5390442,-1.73,-5.19999999999999,-9,0,0,0,3,3,3,0,2
"1232",6,1,20,0,0.5174661,-3.34,-5.80000000000001,-9,0,0,0,3,3,3,0,2
"1239",6,1,21,0,0.49280936,-2.86,-6.30000000000001,-9,0,0,0,2,3,3,0,2
"1246",6,1,21,0,0.46460585,-2.3,-6.80000000000001,-9,0,0,0,2,2,2,0,2
"1253",6,1,22,0,0.4338857,-1.88,-7.19999999999999,-9,0,0,0,2,2,2,0,3
"1260",6,1,23,0,0.4004873,-1.17,-7.5,-6,0,0,0,2,2,2,0,3
"1267",6,1,24,0,0.3664499,1.46,-7.39999999999998,-6,0,0,0,2,2,2,0,3
"1274",6,1,25,0,0.33366457,1.24,-7.19999999999999,-6,0,0,0,3,2,2,0,3
"1281",6,1,25,0,0.30249475,1.01,-7,-3,0,0,0,3,2,2,0,3
"1288",6,1,26,0,0.27230378,3.53,-6.60000000000002,-3,0,0,0,3,2,2,0,0
"1295",6,1,27,0,0.24544447,3.11,-5.90000000000001,-3,0,0,0,3,2,2,0,0
"1302",6,1,28,0,0.22203377,2.55,-5.40000000000001,-3,0,0,0,3,2,2,0,0
"1309",6,1,29,0,0.20138736,2.09,-5,-3,0,0,0,2,2,2,0,0
"1316",6,1,30,0,0.18307113,1.72,-4.59999999999999,-3,0,0,0,2,2,2,0,0
"1323",6,1,30,0,0.16660734,1.41,-4.30000000000001,-3,0,0,0,2,1,1,0,0
"1330",6,1,31,0,0.1517378,1.16,-4.09999999999999,-3,0,0,0,2,1,1,0,0
"1337",6,1,32,0,0.13831025,0.96,-3.90000000000001,-1,0,0,0,2,1,1,0,0
"1344",6,1,33,0,0.12576242,2.55,-3.59999999999999,-1,0,0,0,2,1,1,0,0
"1351",6,1,34,0,0.11581533,2.33,-3.19999999999999,-1,0,0,0,2,1,1,0,0
"1358",6,1,35,0,0.10845076,1.92,-2.80000000000001,-1,0,0,0,2,1,1,0,0
