"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"110",0,2,7,1,0.02336357,0.1,-1.1,-1,0,0,0,0,0,0,0,0
"117",0,2,15,0,0.0274906,0.08,-1.1,-1,0,0,0,0,0,0,0,0
"124",0,2,23,0,0.03175007,0.06,-1,-1,0,0,0,0,0,0,0,0
"131",0,2,31,0,0.03629965,0.04,-1,-1,0,0,0,0,0,0,0,0
"138",0,3,39,0,0.04099598,0.03,-1,-1,0,0,0,0,0,0,0,0
"145",0,3,48,0,0.04587015,0.02,-1,-1,0,0,0,0,0,0,0,0
"152",0,3,57,0,0.05079943,0.02,-1,-1,0,0,0,0,0,0,0,0
"159",0,3,66,0,0.05578583,0,-1,-1,0,0,0,4,0,0,0,0
"166",0,3,75,0,0.06088374,0.02,-1,-1,0,0,0,3,0,0,0,0
"173",0,3,84,0,0.065959,0.01,-1,-1,0,0,0,3,0,0,0,0
"180",0,3,93,0,0.07113892,0,-1,-1,0,0,0,3,0,0,0,0
"187",1,4,1,1,0.07907554,0.01,2,2,1,0,0,3,0,0,0,0
"194",1,4,8,0,0.09777258,0.01,2,2,1,0,0,3,0,0,0,0
"201",1,4,15,0,0.11659566,-0.34,2,-23,0,0,0,2,0,0,0,0
"208",1,4,22,0,0.13410274,-9.11,1.3,-23,0,0,0,2,0,0,0,0
"215",1,4,29,0,0.14146832,-19.71,-1.9,-23,0,0,0,2,0,0,0,0
"222",1,4,36,0,0.12971492,-20.03,-6.3,-22,0,0,0,2,0,0,0,0
"229",1,4,42,0,0.09649238,-12.5,-10.5,-22,0,0,0,2,0,0,0,0
"236",1,4,49,0,0.06045657,-9.56,-1.2,-10,0,0,0,4,0,0,0,0
"243",1,4,56,0,0.05786142,-7.29,-3.3,-10,0,0,0,3,0,0,0,0
"250",1,4,63,0,0.04720556,-5.54,-4.9,-10,0,0,0,3,0,0,0,0
