"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.00324285,0,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,21,0,-0.00641103,0.83,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,31,0,-0.00877045,1.97,-2.6,-1,0,0,0,0,0,0,0,0
"28",0,3,42,0,-0.00972523,1.37,-2.3,-1,0,0,0,0,0,0,0,0
"35",0,3,54,0,-0.00932839,1.14,-2,-1,0,0,0,0,0,0,0,0
"42",0,3,65,0,-0.00766092,0.88,-1.8,-1,0,0,0,0,0,0,0,0
"49",0,3,76,0,-0.00506534,0.7,-1.6,-1,0,0,0,4,0,0,0,0
"56",0,3,86,0,-0.00175771,0.54,-1.5,-1,0,0,0,3,0,0,0,0
"63",0,3,97,0,0.0020555,-0.28,-1.4,-26,1,0,0,3,0,0,0,0
"70",1,4,5,1,0.0141345,-9.56,1,-23,0,0,0,3,0,0,0,0
"77",1,4,12,0,0.02009439,-19.94,-2.1,-23,0,0,0,3,0,0,0,0
"84",1,4,19,0,0.00408981,-20.53,-7.5,-23,0,0,0,4,0,0,0,0
"91",1,4,26,0,-0.03454898,-12.21,-11.8,-23,0,0,0,3,0,0,0,0
"98",1,4,33,0,-0.08474276,-9.36,-13.4,-22,0,0,0,3,0,0,0,0
"105",1,4,40,0,-0.14410399,-6.26,-15.4,-20,0,0,0,3,0,0,0,0
"112",1,4,47,0,-0.21066115,-3.55,-16.7,-20,0,0,0,3,0,0,0,0
"119",1,4,55,0,-0.22758183,-1.06,-5.4,-6,0,0,0,4,0,0,0,0
"126",1,4,62,0,-0.24352795,-0.41,-5.6,-6,0,0,0,3,0,0,0,0
"133",1,3,70,0,-0.21892494,-0.33,4.3,4,0,0,0,3,0,0,0,0
"140",1,3,77,0,-0.19099314,-0.02,4.2,25,1,0,0,3,0,0,0,0
"147",1,3,84,0,-0.16198954,8.5,4.8,25,1,0,0,3,0,0,0,0
"154",1,3,91,0,-0.12339818,18.14,7.7,25,1,0,0,2,0,0,0,0
"161",1,3,98,0,-0.06624387,15.79,12.2,25,1,0,0,2,0,0,0,0
"168",2,4,3,1,-0.07138713,10.26,-9.5,0,0,0,0,2,0,0,0,0
"175",2,4,7,0,-0.09992582,7.9,-7.3,0,0,0,0,2,0,0,0,0
"182",2,4,11,0,-0.11943673,6.05,-5.6,0,0,0,0,4,0,0,0,0
"189",2,4,15,0,-0.13266265,4.61,-4.2,0,0,0,0,3,0,0,0,0
"196",2,4,19,0,-0.14083274,3.5,-3.2,0,0,0,0,3,0,0,0,0
"203",2,4,23,0,-0.14499254,2.67,-2.5,0,0,0,0,3,0,0,0,0
"210",2,4,27,0,-0.14618806,2.05,-1.9,0,0,0,0,4,0,0,0,0
"217",2,4,31,0,-0.14515542,1.56,-1.4,0,0,0,0,3,0,0,0,0
