"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.00309444,0.01,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,20,0,-0.00621496,1.29,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,31,0,-0.00821685,2.36,-2.5,-1,0,0,0,4,0,0,0,0
"28",0,3,42,0,-0.00817742,0.79,-2.1,-2,0,0,0,3,0,0,0,0
"35",0,3,54,0,-0.00733224,-0.51,-2,-2,0,0,0,3,4,0,0,0
"42",0,3,65,0,-0.00682862,0.15,-2.1,-2,0,0,0,3,3,0,0,0
"49",0,3,75,0,-0.00631671,0.17,-2.1,-2,0,0,0,4,3,0,0,0
"56",0,3,86,0,-0.00559469,-0.01,-2,-26,1,0,0,3,3,0,0,0
"63",0,3,96,0,-0.00512357,-3.61,-2.1,-26,1,0,0,3,3,0,0,0
"70",1,4,4,1,-0.00108554,-13.69,-0.7,-23,0,0,0,4,3,0,0,0
"77",1,4,11,0,-0.00630508,-21.77,-4.9,-23,0,0,0,3,4,0,4,0
"84",1,4,18,0,-0.03558352,-17.4,-10.2,-23,0,0,0,3,3,0,3,0
"91",1,4,25,0,-0.0845822,-9.24,-13.8,-23,0,0,0,3,3,0,3,0
"98",1,4,32,0,-0.1434478,-7.73,-14.8,-22,0,0,0,3,3,0,3,0
"105",1,4,39,0,-0.20782763,-5.98,-16.6,-22,0,0,0,3,3,0,3,0
"112",1,4,46,0,-0.27653886,-3.9,-17.8,-12,0,0,0,2,3,0,3,0
"119",1,4,54,0,-0.30602772,4.86,-6.2,0,0,0,0,2,2,0,2,1
"126",1,4,61,0,-0.32040827,6.59,-4.7,20,1,0,0,2,2,0,2,1
"133",1,3,70,0,-0.28974939,8.28,6.8,30,1,0,0,4,2,0,2,0
"140",1,3,77,0,-0.24231554,18.44,9.6,30,1,0,0,3,2,0,2,0
"147",1,3,84,0,-0.1753113,20.5,14.7,30,1,0,0,3,4,0,2,0
"154",1,3,90,0,-0.08620944,12.15,19.2,30,1,0,0,4,3,0,2,0
"161",1,3,97,0,0.01675956,8.56,21.7,30,1,0,0,3,3,0,2,0
"168",2,4,3,1,0.06440374,7.1,-1.4,5,0,0,0,3,3,0,2,0
"175",2,4,7,0,0.07130294,3.31,0.100000000000023,0,0,0,0,3,3,0,2,0
"182",2,4,10,0,0.08130454,-1.49,0.399999999999977,-5,0,0,0,3,2,0,2,0
"189",2,4,15,0,0.09015972,-4.85,-0.1,-5,0,0,0,3,2,0,2,0
"196",2,4,19,0,0.09422951,-4.47,-1.3,-5,0,0,0,2,2,0,1,0
"203",2,4,23,0,0.09337979,-2.82,-2.2,-5,0,0,0,4,2,0,1,0
"210",2,4,27,0,0.08920395,-2.36,-2.8,-5,0,0,0,3,3,0,4,0
"217",2,4,31,0,0.08243335,-1.76,-3.4,-5,0,0,0,3,3,0,3,0
"224",2,4,35,0,0.07370529,-1.82,-3.8,-7,0,0,0,3,3,0,3,0
"231",2,4,39,0,0.06261022,-3.32,-4.4,-7,0,0,0,3,3,0,3,0
"238",2,2,43,0,0.04847125,-2.05,-5,-7,0,0,0,4,3,0,3,0
"245",2,2,47,0,0.0316419,-1.63,-5.5,-7,0,0,0,3,2,0,2,0
"252",2,2,51,0,0.0129479,0.31,-5.8,0,0,0,0,3,2,0,2,0
"259",2,2,55,0,-0.00460637,6.79,-5.1,0,0,0,0,4,2,0,2,0
"266",2,2,59,0,-0.01573971,4.01,-3.7,0,0,0,0,3,4,0,2,0
"273",2,2,64,0,-0.02213891,3.01,-2.9,0,0,0,0,3,3,0,2,0
"280",2,2,68,0,-0.02512333,2.44,-2.2,0,0,0,0,3,3,0,2,0
"287",2,2,72,0,-0.02537682,1.82,-1.7,0,0,0,0,3,3,0,2,0
"294",2,3,76,0,-0.02366828,1.42,-1.3,0,0,0,0,3,3,0,2,0
"301",2,3,80,0,-0.02032753,1.09,-1,0,0,0,0,4,3,0,2,0
"308",2,3,84,0,-0.01575899,0.84,-0.8,0,0,4,0,3,2,0,2,0
"315",2,3,88,0,-0.01023623,0.64,-0.6,0,0,3,0,3,2,0,2,0
"322",2,3,93,0,-0.004032,0.49,-0.5,102,1,3,0,3,2,0,2,0
"329",2,3,97,0,0.00303533,4.47,-0.2,102,1,3,0,3,2,0,1,0
"336",3,4,1,1,0.01025239,14.97,-3.30000000000001,97,0,3,0,4,2,0,1,0
"343",3,4,3,0,0.01608336,25.85,1.39999999999998,97,0,2,0,3,2,0,1,0
"350",3,4,6,0,0.03247551,31.06,-1.30000000000001,87,0,2,0,3,4,0,1,0
"357",3,4,8,0,0.05776868,29.79,6.69999999999999,87,0,2,0,3,3,0,1,0
"364",3,4,11,0,0.09274636,30.03,4.10000000000002,77,0,2,0,3,3,0,1,0
"371",3,4,13,0,0.14319284,30,11.6,77,0,2,0,3,3,0,1,0
"378",3,4,16,0,0.19186963,30,9.19999999999999,67,0,2,0,2,3,0,1,0
"385",3,4,19,0,0.26383244,30,6.69999999999999,57,0,2,0,2,4,0,1,0
"392",3,4,22,0,0.327336,30,14.2,57,0,2,0,2,3,0,1,1
"399",3,4,25,0,0.40731033,29.18,11.6,27,0,2,0,2,3,0,1,1
"406",3,4,27,0,0.49282371,20.38,17.9,27,0,2,0,2,3,0,1,1
"413",3,4,31,0,0.5631004,9.73,11.7,17,0,2,0,2,3,0,1,2
"420",3,4,34,0,0.61877818,3.13,3.10000000000002,7,0,1,0,2,3,0,1,2
"427",3,4,37,0,0.64604439,3.56,3.89999999999998,7,0,1,0,2,2,0,1,2
"434",3,4,40,0,0.63234084,2.6,-5.39999999999998,-3,0,1,0,2,2,0,1,2
"441",3,4,44,0,0.59115955,2.01,-14.9,-13,0,1,0,2,2,0,1,2
"448",3,4,47,0,0.52721479,1.58,-14.5,-13,0,1,0,2,4,0,1,2
"455",3,2,50,0,0.43019345,1.22,-22.1,-21,0,1,0,1,3,0,4,2
"462",3,2,52,0,0.33016108,0.95,-21.9,-21,0,1,0,3,3,0,3,2
"469",3,2,55,0,0.23102154,2.25,-21.7,-11,0,1,0,3,3,0,3,0
"476",3,2,57,0,0.1352206,10.57,-20.5,-1,0,1,0,3,3,0,3,0
"483",3,2,60,0,0.05214274,17.17,-17.8,-1,0,1,0,3,2,0,3,0
"490",3,2,62,0,-0.01528859,15.51,-13.7,-1,0,1,0,3,2,0,2,0
"497",3,2,65,0,-0.06510447,9.95,-10.7,9,0,1,0,2,2,0,2,0
"504",3,2,68,0,-0.10320156,12.36,-8.5,9,0,1,0,2,2,0,2,0
"511",3,2,70,0,-0.12712788,17.6,-5.10000000000002,9,0,1,0,2,2,0,2,0
"518",3,2,73,0,-0.13201694,11.26,-1.60000000000002,9,0,1,0,2,2,0,2,0
"525",3,2,76,0,-0.12306288,8.83,0.699999999999989,9,0,1,0,2,2,0,2,0
"532",3,2,78,0,-0.10412846,7.09,2.5,9,0,1,0,3,2,0,2,0
"539",3,2,81,0,-0.07729807,3.59,3.90000000000001,-1,0,1,0,3,2,0,2,0
"546",3,3,84,0,-0.04703645,-5.47,4,-1,0,1,0,3,2,0,2,0
"553",3,3,87,0,-0.02223988,-4.5,2.80000000000001,-1,0,1,0,4,2,0,2,0
"560",3,3,89,0,-0.00186691,-2.96,1.90000000000001,-1,0,1,0,3,4,0,2,0
"567",3,3,92,0,0.01510892,-2.53,1.30000000000001,-1,0,1,0,3,3,0,1,0
"574",3,3,95,0,0.02924142,-1.93,0.800000000000011,-1,0,1,0,3,3,0,1,0
"581",3,3,97,0,0.04127344,1.05,0.5,92,1,1,0,3,3,0,1,0
"588",4,4,0,1,0.05373698,11.13,-3.59999999999999,87,0,1,0,3,3,0,1,0
"595",4,4,3,0,0.05618712,21.95,-0.199999999999989,87,0,1,0,2,2,0,1,0
"602",4,4,6,0,0.07356558,30.78,-3.80000000000001,77,0,1,0,2,2,0,1,0
"609",4,4,8,0,0.08710516,29.95,3.69999999999999,77,0,1,0,2,2,0,1,0
"616",4,4,11,0,0.11867612,29.98,0.800000000000011,67,0,1,0,2,2,0,1,0
"623",4,4,14,0,0.15395484,30.01,7.69999999999999,67,0,1,0,2,4,0,1,0
"630",4,4,17,0,0.19719489,30,4.80000000000001,47,0,1,0,2,3,0,1,0
"637",4,4,20,0,0.2548527,30,11.8,47,0,1,0,2,3,0,1,0
"644",4,4,23,0,0.30679599,29.86,8.80000000000001,37,0,1,0,2,3,0,1,1
"651",4,4,26,0,0.37887854,23.52,5.30000000000001,17,0,1,0,2,3,0,1,1
"658",4,4,29,0,0.43322864,13.22,9.5,17,0,0,0,2,2,0,1,1
"665",4,4,32,0,0.47640611,4.98,1.5,7,0,0,0,2,2,0,1,1
"672",4,4,35,0,0.49968692,4.85,2.59999999999999,7,0,0,0,1,2,0,1,2
"679",4,4,39,0,0.47742399,3.76,-6.5,-3,0,0,0,1,2,0,1,2
"686",4,4,42,0,0.4353445,2.95,-15.8,-13,0,0,0,1,2,0,1,2
"693",4,4,45,0,0.36610645,3.26,-15.2,-3,0,0,0,1,2,0,1,2
"700",4,2,48,0,0.27650266,11.49,-21.9,-11,0,0,0,1,3,0,1,0
"707",4,2,51,0,0.17782403,9.65,-19.4,-11,0,0,0,1,3,0,1,0
"714",4,2,54,0,0.08974941,8.77,-17.6,-1,0,0,0,4,3,0,1,0
"721",4,2,56,0,0.01256725,16.19,-15.1,-1,0,0,0,3,3,0,1,0
"728",4,2,59,0,-0.0479859,11.87,-11.8,-1,0,0,0,3,3,0,1,0
"735",4,2,62,0,-0.09453885,9.06,-9.59999999999999,9,0,0,0,3,2,0,1,0
"742",4,2,65,0,-0.12974839,12.37,-7.69999999999999,9,0,0,0,4,2,0,1,0
"749",4,2,68,0,-0.1515933,16.49,-4.5,9,0,0,0,3,4,0,1,0
"756",4,2,70,0,-0.15537355,10.84,-1.40000000000001,9,0,0,0,3,3,0,4,0
"763",4,2,73,0,-0.14596116,8.96,0.699999999999989,9,0,0,0,3,3,0,3,0
"770",4,2,76,0,-0.12637914,7.09,2.40000000000001,9,0,0,0,3,3,0,3,0
"777",4,2,79,0,-0.09857615,5.62,3.69999999999999,9,0,0,0,3,3,0,3,0
"784",4,2,82,0,-0.06430962,4.48,4.80000000000001,9,0,0,0,3,3,0,3,0
"791",4,3,85,0,-0.02483093,3.51,5.69999999999999,-1,0,0,0,3,2,0,2,0
"798",4,3,88,0,0.0177285,-4.39,5.90000000000001,-1,0,0,0,3,4,0,2,0
"805",4,3,91,0,0.05508804,-7.13,4.69999999999999,-1,0,0,0,2,3,0,2,0
"812",4,3,93,0,0.08605221,-4.51,3.40000000000001,-1,0,0,0,4,3,0,2,0
"819",4,3,96,0,0.11167807,-3.85,2.59999999999999,-1,0,0,0,3,3,0,2,0
"826",4,3,99,0,0.13304696,-3.03,1.80000000000001,-1,0,0,0,3,3,0,2,0
"833",5,4,2,1,0.12933815,-2.42,-3.69999999999999,-6,1,0,0,3,3,0,2,0
"840",5,4,5,0,0.11280566,-1.51,-14.2,21,0,0,0,3,4,0,2,0
"847",5,4,8,0,0.04307007,7.31,-13.9,21,0,0,0,2,3,0,2,0
"854",5,4,10,0,-0.03491162,17.97,-21.6,11,0,0,0,2,3,0,2,0
"861",5,4,13,0,-0.1307374,28.39,-16.6,11,0,0,0,2,3,0,2,0
"868",5,4,15,0,-0.21207773,26.99,-19.2,2,0,0,0,2,3,0,1,0
"875",5,1,18,0,-0.29195053,17.47,-17.4,-1,0,0,0,2,3,0,1,0
"882",5,1,21,0,-0.36778136,15.01,-14.2,19,0,0,0,2,2,0,1,1
"889",5,1,24,0,-0.42502881,23.67,-10.4,19,0,0,0,2,2,0,1,1
"896",5,1,26,0,-0.45453758,28.84,-4.30000000000001,19,0,0,0,2,2,0,1,1
"903",5,1,29,0,-0.44944003,20.3,1.2,19,0,0,0,2,2,0,1,2
"910",5,1,32,0,-0.41902071,14.95,4.7,19,0,0,0,3,4,0,1,2
