ID_flight,bank,distacleg,discrdistacleg,distaclegend,brgaclegend,distaclegendsecondstas,actionhdgval,actionspdval,actionspdsel,actionfdsel,thr68y78y88y93y98,discrDistACLegAccum,discrDistACLegAvgGlobal,discrDistACLegAvg20,discrDistACLegAvg40,accumConsecDiscrDistACLeg3orMore,accumConsecDiscrDistACLeg3orMoreDisc05,accumActionHdgValChange,percentActionHdgValChangeLast20,percentActionHdgValChangeLast40,PBNleg,PBNlegCourse,PBNnxtlegCourse,PBNDistDiscr,PBNLogCheck,PBNNxtTrnPointCheck,PBNMapCheck,PBNMapClick,PBNTrackCheck,PBNWPTCheck,angleM,angleCLCrs,anglePBNleg,anglePBNnxtleg,dstNxtTP,angleBrM,dscrAngleBrM,angleDiffBrM,dscrBank,bankDiff,PBNLegChange,PBNLegEndType,PBNdeviationIntegr,PBNdeviationIntegrCorr,PBNdeviation,PBNlegLength,PBNlegPercent,phaseTxt,angleLegDiff
1,-0.01,0.00031811,0,2.72967605,359.34805472,38,-999,-999,-1,-1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.73273392055897,-2.8,0,NA,0,NA,NA,1,0,0,-0.00031811,2.76,1.13908330955812,2,0
2,0,0.00074274,0,2.69197312,359.33892338,37,-999,-999,-1,-1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.69498875280413,-2.8,0,0,0,0.0193906038445716,0,1,0,0,-0.00074274,2.76,2.50654653140237,2,-26
3,-0.01,0.00116264,0,2.65469051,359.32963877,36,-999,-999,-1,-1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.65766437963416,-2.8,0,0,0,-0.0193906038445716,0,1,0,0,-0.00116264,2.76,3.85876295888742,2,-26
4,0,0.00158524,0,2.61716783,359.32002727,35,-999,-999,-1,-1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.62009966534747,-2.8,0,0,0,0.0193906038445716,0,1,0,0,-0.00158524,2.76,5.21969075923888,2,-26
5,0,0.00200988,0,2.57946512,359.31008798,34,-999,-999,-1,-1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.58235471667522,-2.8,0,0,0,0,0,1,0,0,-0.00200988,2.76,6.58715369920832,2,-26
6,0,0.00243721,0,2.54152234,359.29978767,34,-999,-999,-1,-1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.54436943511296,-2.8,0,0,0,0,0,1,0,0,-0.00243721,2.76,7.96332944404274,2,-26
7,0,0.00295313,0,2.49571496,359.28693503,33,-999,-999,-1,-1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.4985107349301,-2.8,0,0,0,0,0,1,0,0,-0.00295313,2.76,9.624732984445,2,-26
8,-0.01,0.00338925,0,2.45699191,359.27569628,32,-999,-999,-1,-1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.45974430683083,-2.8,0,0,0,-0.0193906038445716,0,1,0,0,-0.00338925,2.76,11.0292242098512,2,-26
9,-0.01,0.00383484,0,2.41742846,359.26384174,31,-999,-999,-1,-1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.42013653928214,-2.8,0,0,0,0,0,1,0,0,-0.00383484,2.76,12.4641878918743,2,-26
10,0,0.00419389,0,2.38554965,359.25400368,31,-999,-999,-1,-1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.38822201190315,-2.8,0,0,0,0.0193906038445716,0,1,0,0,-0.00419389,2.76,13.6204357749632,2,-26
11,-0.01,0.00464624,0,2.34538604,359.24122812,30,-999,-999,-1,-1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.34801341622865,-2.8,0,0,0,-0.0193906038445716,0,1,0,0,-0.00464624,2.76,15.077159355998,2,-26
12,0,0.00511077,0,2.30414193,359.2276453,30,-999,-999,-1,1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.30672310055699,-2.8,0,0,0,0.0193906038445716,0,1,0,0,-0.00511077,2.76,16.5730894453379,2,-26
13,0,0.00556244,0,2.26403861,359.21396359,29,-999,-999,-1,1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.26657485837824,-2.8,0,0,0,0,0,1,0,0,-0.00556244,2.76,18.0276564982266,2,-26
14,0,0.00600263,0,2.22495602,359.20015554,28,-999,-999,-1,1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.22744848188094,-2.8,0,0,0,0,0,1,0,0,-0.00600263,2.76,19.4451950321451,2,-26
